review_number,revision_number,arquivo_positivo,potencial_deslocamento,potencial_teste,arquivo_diferente
776,1,RepositoriesView_3.java,1,0,0
776,1,RepositoriesView_10.java,0,0,0
776,1,RepositoriesView_10.java,0,0,0
776,1,RepositoriesView_8.java,1,0,0
776,1,RepositoriesView_4.java,0,0,0
778,1,RepositoriesView_5.java,1,0,0
778,1,RepositoriesView_5.java,1,0,0
778,1,RepositoriesView_9.java,0,0,0
778,1,RepositoriesView_2.java,1,0,0
778,1,RepositoriesView_10.java,1,0,0
778,1,RepositoriesView_12.java,1,0,0
778,1,RepositoriesView_8.java,1,0,0
778,1,RepositoriesView_4.java,0,0,0
778,2,RepositoriesView_7.java,0,0,0
778,2,RepositoriesView_2_rev_1.java,0,0,0
778,3,RepositoriesView_7.java,0,0,0
778,3,RepositoriesView_2_rev_1.java,0,0,0
778,4,RepositoriesView_2_rev_1.java,0,0,0
778,4,GitSelectRepositoryPage_1.java,0,0,0
778,4,GitSelectRepositoryPage_1.java,0,0,0
778,4,RepositoriesView_7,0,0,0
778,5,RepositoriesView_2_rev_1.java,0,0,0
778,5,GitSelectRepositoryPage_1.java,0,0,0
778,5,GitSelectRepositoryPage_1.java,0,0,0
778,5,RepositoriesView_7,0,0,0
778,6,RepositoriesView_2_rev_1.java,0,0,0
778,6,GitSelectRepositoryPage_1.java,0,0,0
778,6,GitSelectRepositoryPage_1.java,0,0,0
778,6,RepositoriesView_7,0,0,0
778,7,RepositoriesView_2_rev_1.java,0,0,0
778,7,GitSelectRepositoryPage_1.java,0,0,0
778,7,GitSelectRepositoryPage_1.java,0,0,0
778,7,RepositoriesView_7,0,0,0
778,8,RepositoriesView_2_rev_1.java,0,0,0
778,8,RepositoriesView_7,0,0,0
778,8,GitSelectRepositoryPage_3.java,0,0,0
778,8,GitSelectRepositoryPage_3.java,0,0,0
778,9,RepositoriesView_2_rev_1.java,0,0,0
778,9,RepositoriesView_7,0,0,0
778,9,GitSelectRepositoryPage_3.java,0,0,0
778,9,GitSelectRepositoryPage_3.java,0,0,0
778,10,RepositoriesView_2_rev_1.java,0,0,0
778,10,RepositoriesView_7,0,0,0
778,10,GitSelectRepositoryPage_3.java,0,0,0
778,10,GitSelectRepositoryPage_3.java,0,0,0
778,11,RepositoriesView_11.java,0,0,0
778,11,RepositoriesView_6.java,0,0,0
778,11,RepositoriesView_14.java,0,0,0
778,11,GitSelectRepositoryPage_3.java,0,0,0
778,11,GitSelectRepositoryPage_3.java,0,0,0
783,1,RepositoriesView_6.java,0,0,0
783,1,RepositoriesView_5.java,1,0,0
783,1,RepositoriesView_5.java,1,0,0
783,1,RepositoriesView_5.java,1,0,0
783,1,Activator_2.java,0,0,0
783,1,Activator_3.java,0,0,0
783,1,Activator_3.java,0,0,1
784,1,RepositoriesView_6.java,0,0,0
784,1,RepositoriesView_5.java,1,0,0
784,1,RepositoriesView_5.java,1,0,0
784,1,RepositoriesView_5.java,1,0,0
784,1,Activator_2.java,0,0,0
784,1,Activator_3.java,0,0,0
784,1,Activator_3.java,0,0,1
791,1,GitSelectWizardPage_5.java,0,0,1
791,1,GitSelectWizardPage_6.java,1,0,1
791,2,GitSelectWizardPage_5.java,0,0,1
791,2,GitSelectWizardPage_6.java,1,0,1
805,1,RepositorySelectionPage_1.java,0,0,0
805,1,RepositorySelectionPage_1.java,0,0,0
805,2,RepositorySelectionPage_1.java,0,0,0
805,2,RepositorySelectionPage_1.java,0,0,0
813,1,RepositorySearchDialog_3.java,1,0,0
868,1,RefSpecPanel_0.java,0,0,0
891,3,RepositoriesView_5.java,0,0,0
891,3,RepositoriesView_5.java,0,0,0
891,3,RepositoriesView_5.java,0,0,0
891,4,RepositoriesView_5,0,0,0
891,4,RepositoriesView_5,0,0,0
891,4,RepositoriesView_5,0,0,0
891,4,GitBlobResourceVariant_2.java,0,0,0
891,4,GitBlobResourceVariant_2.java,0,0,0
891,5,RepositoriesView_5,0,0,0
891,5,RepositoriesView_5,0,0,0
891,5,RepositoriesView_5,0,0,0
891,5,GitBlobResourceVariant_2.java,0,0,0
891,5,GitBlobResourceVariant_2.java,0,0,0
891,6,RepositoriesView_5,0,0,0
891,6,RepositoriesView_5,0,0,0
891,6,RepositoriesView_5,0,0,0
891,6,GitBlobResourceVariant_2.java,0,0,0
891,6,GitBlobResourceVariant_2.java,0,0,0
891,7,GitBlobResourceVariant_1.java,0,0,0
891,7,GitBlobResourceVariant_2_rev_6.java,1,0,0
891,7,GitBlobResourceVariant_2_rev_6.java,1,0,0
895,1,RemoveCommand_1.java,1,0,1
895,1,RemoveCommand_1.java,1,0,1
895,1,RemoveCommand_1.java,1,0,1
895,1,RemoveCommand_1.java,1,0,1
895,2,RemoveCommand_1.java,1,0,1
895,2,RemoveCommand_1.java,1,0,1
895,2,RemoveCommand_1.java,1,0,1
895,2,RemoveCommand_1.java,1,0,1
896,1,RepositoriesView_3.java,1,0,0
896,1,RepositoriesView_3.java,1,0,0
896,1,RepositoriesView_3.java,1,0,0
896,2,RepositoriesView_3.java,1,0,0
896,2,RepositoriesView_3.java,1,0,0
896,2,RepositoriesView_3.java,1,0,0
909,1,GitSynchronizeData_0.java,0,0,1
909,1,GitSynchronizeData_0.java,0,0,1
909,1,GitSynchronizeData_0.java,0,0,1
909,1,GitSynchronizeData_0.java,0,0,1
909,2,GitSynchronizeData_0.java,0,0,1
909,2,GitSynchronizeData_0.java,0,0,1
909,2,GitSynchronizeData_0.java,0,0,1
909,2,GitSynchronizeData_0.java,0,0,1
909,3,GitSynchronizeData_0.java,0,0,1
909,3,GitSynchronizeData_0.java,0,0,1
909,3,GitSynchronizeData_0.java,0,0,1
909,3,GitSynchronizeData_0.java,0,0,1
929,1,RepositoriesView_13.java,1,0,0
929,1,RepositoriesView_12.java,1,0,0
929,2,ConfigureUriPage_20.java,0,0,0
929,2,RepositoriesView_12,1,0,0
929,2,RepositoriesViewContentProvider_26.java,0,0,0
929,2,RepositoriesView_13,1,0,0
929,3,ConfigureUriPage_20.java,0,0,0
929,3,RepositoriesView_12,1,0,0
929,3,RepositoriesViewContentProvider_26.java,0,0,0
929,3,RepositoriesView_13,1,0,0
936,1,RepositoriesView_19.java,1,0,0
936,1,RepositoriesView_18.java,1,0,0
943,1,PropertyTester_0.java,0,1,0
976,1,RepositoriesView_0.java,1,0,0
976,1,RepositoriesView_1.java,1,0,0
976,2,RepositoriesView_0.java,1,0,0
976,2,RepositoriesView_1.java,1,0,0
976,3,RepositoriesView_0.java,1,0,0
976,3,RepositoriesView_1.java,1,0,0
976,4,RepositoriesView_0.java,1,0,0
976,4,RepositoriesView_1.java,1,0,0
1007,1,ConfigureUriPage_2.java,0,0,0
1007,1,RepositoriesViewContentProvider_6.java,0,0,0
1007,2,ConfigureUriPage_2.java,0,0,0
1007,2,RepositoriesViewContentProvider_6.java,0,0,0
1007,3,ConfigureUriPage_2.java,0,0,0
1007,3,RepositoriesViewContentProvider_6.java,0,0,0
1007,4,ConfigureUriPage_2.java,0,0,0
1007,4,RepositoriesViewContentProvider_6.java,0,0,0
1007,5,ConfigureUriPage_2.java,0,0,0
1007,5,RepositoriesViewContentProvider_6.java,0,0,0
1007,6,ConfigureUriPage_2.java,0,0,0
1007,6,RepositoriesViewContentProvider_6.java,0,0,0
1007,7,ConfigureUriPage_2.java,0,0,0
1007,7,RepositoriesViewContentProvider_6.java,0,0,0
1007,8,ConfigureUriPage_4.java,0,0,0
1007,8,RepositoriesViewContentProvider_8.java,0,0,0
1007,9,ConfigureUriPage_4.java,0,0,0
1007,9,RepositoriesViewContentProvider_8.java,0,0,0
1007,10,ConfigureUriPage_4.java,0,0,0
1007,10,RepositoriesViewContentProvider_8.java,0,0,0
1007,11,ConfigureUriPage_4.java,0,0,0
